Campus,Course ID,CRN,Section,Title,Link,Schedule Type,Start Date,Meeting Days,Meeting Time,Building,Room,Primary Instructor Last Name,Cap
Main,GEOS3350,42765,500,Mineralogy,L1,Lecture,8/29/18,MWF,14:00 - 14:50,Rood Hall,1120,Thakurta,18
Main,GEOS3350,42766,550,Mineralogy,B1,Lab or Discussion,8/29/18,T,14:00 - 15:50,Rood Hall,1120,Rupp,18
Main,GEOS4340,40296,470,Probs In Geology,,Independent Study,8/29/18,,,,,Thakurta,1
Main,GEOS4340,40303,475,Probs In Geology,,Independent Study,8/29/18,,,,,Kehew,1
Main,GEOS4340,40304,480,Probs In Geology,,Independent Study,8/29/18,,,,,,1
Main,GEOS4340,40305,485,Probs In Geology,,Independent Study,8/29/18,,,,,,1
Main,GEOS4350,42767,500,Sedimentation & Stratigraphy,L1,Lecture,8/29/18,MWF,10:00 - 10:50,Rood Hall,1120,Kaczmarek,30
Main,GEOS4350,42769,550,Sedimentation & Stratigraphy,B1,Lab or Discussion,8/29/18,T,09:30 - 12:20,Rood Hall,1120,Manche,30
Main,GEOS5020,40306,100,Probs Geol/Earth Sci,,Lecture/Lab/Discussion,8/29/18,,,,,Thakurta,1
Main,GEOS5020,40307,102,Probs Geol/Earth Sci,,Lecture/Lab/Discussion,8/29/18,,,,,Petcovic,1
Main,GEOS5020,40308,104,Probs Geol/Earth Sci,,Lecture/Lab/Discussion,8/29/18,,,,,Kaczmarek,1
Main,GEOS5020,40309,106,Probs Geol/Earth Sci,,Lecture/Lab/Discussion,8/29/18,,,,,Krishnamurthy,1
Main,GEOS5020,44306,110,Probs Geol/Earth Sci,,Lecture/Lab/Discussion,8/29/18,,,,,,1
Main,GEOS5020,44319,115,Probs Geol/Earth Sci,,Lecture/Lab/Discussion,8/29/18,,,,,,1
Main,GEOS5090,45820,120,Surface Water Hydrology,,Lecture/Lab/Discussion,8/29/18,TR,14:00 - 15:15,Rood Hall,1122,Hampton,25
Main,GEOS5360,45821,121,Glacial Geology,,Lecture,8/29/18,TR,15:30 - 16:45,Rood Hall,1192,Kehew,20
Main,GEOS5600,42768,500,Intro Geophysics,L1,Lecture,8/29/18,MW,09:00 - 09:50,Rood Hall,1120,Sauck,30
Main,GEOS5600,45598,540,Intro Geophysics,B1,Lab or Discussion,8/29/18,T,15:30 - 18:00,Rood Hall,1107,Abdelmohsen,15
Main,GEOS5600,43510,545,Intro Geophysics,B1,Lab or Discussion,8/29/18,R,13:00 - 15:30,Rood Hall,1120,Abdelmohsen,15
Main,GEOS5610,45810,122,Reflection Seismology,,Lecture/Lab/Discussion,8/29/18,F,10:00 - 12:30,Rood Hall,1192,Sauck,15
Main,GEOS5610,45810,122,Reflection Seismology,,Lecture/Lab/Discussion,8/29/18,MW,11:00 - 11:50,Rood Hall,1192,Sauck,15
Main,GEOS6340,41644,100,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,Kaczmarek,1
Main,GEOS6340,41645,105,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,Sultan,1
Main,GEOS6340,41646,110,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,,1
Main,GEOS6340,42190,111,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,,1
Main,GEOS6340,42209,112,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,,1
Main,GEOS6340,42885,115,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,,1
Main,GEOS6340,44320,120,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,,1
Main,GEOS6340,44318,125,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,,1
Main,GEOS6340,44321,130,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,,1
Main,GEOS6340,44331,135,Research in Geol/Earth Science,,Independent Study,8/29/18,,,,,,1
Main,GEOS6500,40344,100,Topics in Geol/Earth Sci,,Lecture,8/29/18,,,,,,1
Main,GEOS6500,40345,102,Topics in Geol/Earth Sci,,Lecture,8/29/18,,,,,,1
Main,GEOS6500,40346,104,Topics in Geol/Earth Sci,,Lecture,8/29/18,,,,,,1
Main,GEOS6500,40347,106,Topics in Geol/Earth Sci,,Lecture,8/29/18,,,,,,1
Main,GEOS6550,45823,120,Quantitative Basin Analysis,,Lecture,8/29/18,TR,12:30 - 13:45,Rood Hall,1107,Kominz,10
Main,GEOS6560,45857,125,Clastic Depositional Systems,,Lecture,8/29/18,MW,14:00 - 15:15,Rood Hall,1107,Voice,10
Main,GEOS7000,40355,100,Masters Thesis,,Independent Study,8/29/18,,,,,Sauck,1
Main,GEOS7000,40356,102,Masters Thesis,,Independent Study,8/29/18,,,,,Kominz,1
Main,GEOS7000,40357,104,Masters Thesis,,Independent Study,8/29/18,,,,,Reeves,1
Main,GEOS7000,40358,106,Masters Thesis,,Independent Study,8/29/18,,,,,Hampton,1
Main,GEOS7000,40359,108,Masters Thesis,,Independent Study,8/29/18,,,,,Thakurta,1
Main,GEOS7000,40360,110,Masters Thesis,,Independent Study,8/29/18,,,,,Kaczmarek,1
Main,GEOS7000,40361,112,Masters Thesis,,Independent Study,8/29/18,,,,,Kehew,1
Main,GEOS7000,41776,114,Masters Thesis,,Independent Study,8/29/18,,,,,,1
Main,GEOS7000,41777,116,Masters Thesis,,Independent Study,8/29/18,,,,,,1
Main,GEOS7000,41806,118,Masters Thesis,,Independent Study,8/29/18,,,,,,1
Main,GEOS7000,41807,120,Masters Thesis,,Independent Study,8/29/18,,,,,,1
Main,GEOS7100,40398,100,Independent Research,,Independent Study,8/29/18,,,,,Sultan,1
Main,GEOS7100,40400,102,Independent Research,,Independent Study,8/29/18,,,,,Hampton,1
Main,GEOS7100,40404,104,Independent Research,,Independent Study,8/29/18,,,,,,1
Main,GEOS7100,40406,106,Independent Research,,Independent Study,8/29/18,,,,,,1
