Campus,Course ID,CRN,Section,Title,Link,Schedule Type,Start Date,Meeting Days,Meeting Time,Building,Room,Primary Instructor Last Name,Cap
Main,IEE4990,44711,100,Studies - Engineering,,Independent Study,8/29/18,,,,,,5
Main,IEE5170,46681,100,Applied Data Mining for Engrs,,Lecture,8/29/18,T,19:00 - 21:50,Elson S. Floyd Hall,C0226,Wells,28
Main,IEE5570,46251,110,Entrepreneurial Engineering,,Seminar or Studio,8/29/18,W,16:00 - 18:50,Elson S. Floyd Hall,D0208,Patten,20
Main,IEE6060,44464,100,Cap Budget Cost Analysis,,Lecture,8/29/18,W,19:00 - 21:50,Elson S. Floyd Hall,D0201,White,28
Main,IEE6420,43960,100,Ergo & Occupa Biomec,,Lecture,8/29/18,M,19:00 - 21:50,Elson S. Floyd Hall,C0136,Fredericks,28
Main,IEE6570,44681,100,Studies-Indust Eng,,Independent Study,8/29/18,,,,,Gupta,5
Main,IEE6570,44734,105,Studies-Indust Eng,,Independent Study,8/29/18,,,,,,5
Main,IEE6830,43961,100,Thesis Proposal,,Supervision or Practicum,8/29/18,,,,,Houshyar,3
Main,IEE6830,43963,105,Thesis Proposal,,Supervision or Practicum,8/29/18,,,,,,3
Main,IEE6970,43964,100,Problems in Industrial Engr,,Independent Study,8/29/18,,,,,,5
Main,IEE6980,43965,100,Readings in Industrial Engr,,Independent Study,8/29/18,,,,,,3
Main,IEE6990,44682,100,Practical Training,,Supervision or Practicum,8/29/18,,,,,Houshyar,5
Main,IEE6990,43969,110,Practical Training,,Supervision or Practicum,8/29/18,,,,,Wells,5
Main,IEE6990,44683,115,Practical Training,,Supervision or Practicum,8/29/18,,,,,Gupta,5
Main,IEE7000,43974,100,Masters Thesis,,Independent Study,8/29/18,,,,,,5
Main,IEE7000,43975,105,Masters Thesis,,Independent Study,8/29/18,,,,,,5
Main,IEE7000,43976,110,Masters Thesis,,Independent Study,8/29/18,,,,,,5
Main,IEE7000,43977,115,Masters Thesis,,Independent Study,8/29/18,,,,,,5
Main,IEE7120,43978,100,Prof Field Exper,,Supervision or Practicum,8/29/18,,,,,,5
Main,IEE7120,43979,105,Prof Field Exper,,Supervision or Practicum,8/29/18,,,,,,5
Main,IEE7250,46248,100,Doctoral Research Seminar,,Seminar or Studio,8/29/18,T,16:00 - 18:50,Elson S. Floyd Hall,D0201,Greene,20
Main,IEE7300,43980,100,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Wells,5
Main,IEE7300,43981,105,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Butt,5
Main,IEE7300,43982,110,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Houshyar,5
Main,IEE7300,43983,115,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Greene,5
Main,IEE7300,43984,120,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Fredericks,5
Main,IEE7300,43985,125,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Gupta,5
Main,IEE7300,43986,130,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Meade,1
Main,IEE7300,43987,135,Doctoral Dissertation,,Independent Study,8/29/18,,,,,,5
Main,IEE7300,43988,140,Doctoral Dissertation,,Independent Study,8/29/18,,,,,,5
Main,IEE7300,43989,145,Doctoral Dissertation,,Independent Study,8/29/18,,,,,,5
Main,IEE7300,43991,150,Doctoral Dissertation,,Independent Study,8/29/18,,,,,,5
WMU - Grand Rapids - Beltline,EM6120,46163,GA,Production/Operations Mgmt,,Lecture,8/29/18,R,18:00 - 21:20,Grand Rapids Beltline,2010,Lyth,30
WMU - Grand Rapids - Beltline,IEE5010,46164,GA,Survey of IE Topics,,Lecture,8/29/18,W,18:00 - 21:20,Grand Rapids Beltline,2010,Houshyar,30
WMU - Grand Rapids - Beltline,IEE5160,46168,GA,Des Exper & Reg Analysis,,Lecture,8/29/18,M,18:00 - 21:20,Grand Rapids Beltline,3001,Wells,30
WMU - Grand Rapids - Beltline,IEE6110,46167,GA,Determstc Methods in Op Rsch,,Lecture,8/29/18,T,18:00 - 21:20,Grand Rapids Beltline,2010,Houshyar,30
Main,AE2610,43529,500,Intro to Aerospace Engineering,L1,Lecture,8/29/18,MW,16:30 - 17:20,Elson S. Floyd Hall,D0210,Gustafson,36
Main,AE2610,43530,545,Intro to Aerospace Engineering,B1,Lab or Discussion,8/29/18,M,17:30 - 20:20,Elson S. Floyd Hall,D0210,Gustafson,20
Main,AE2610,43531,550,Intro to Aerospace Engineering,B1,Lab or Discussion,8/29/18,W,17:30 - 20:20,Elson S. Floyd Hall,D0210,Gustafson,20
Main,AE3610,43348,100,Aerodynamics I,,Lecture,8/29/18,F,14:30 - 17:20,Elson S. Floyd Hall,D0109,Liu,10
Main,AE3610,43348,100,Aerodynamics I,,Lecture,8/29/18,R,08:30 - 11:20,Contact Dept for Location,0,Liu,10
Main,AE3610,44863,110,Aerodynamics I,,Lecture,8/29/18,R,11:30 - 14:20,Contact Dept for Location,0,Liu,10
Main,AE3610,44863,110,Aerodynamics I,,Lecture,8/29/18,F,14:30 - 17:20,Elson S. Floyd Hall,D0109,Liu,10
Main,AE3610,45422,120,Aerodynamics I,,Lecture,8/29/18,R,14:30 - 17:20,Contact Dept for Location,0,Liu,10
Main,AE3610,45422,120,Aerodynamics I,,Lecture,8/29/18,F,14:30 - 17:20,Elson S. Floyd Hall,D0109,Liu,10
Main,AE4600,43349,100,Aircraft Stability and Control,,Lecture,8/29/18,MWF,09:30 - 10:20,Elson S. Floyd Hall,D0204,Ro,35
Main,AE4630,43350,100,Aerospace Structural Design,,Lecture,8/29/18,TR,14:30 - 15:45,Elson S. Floyd Hall,D0109,Gustafson,76
Main,AE4660,43351,100,Aerospace Propulsion I,,Lecture,8/29/18,R,18:00 - 21:00,Elson S. Floyd Hall,D0115,Liou,35
Main,AE4990,43478,100,Independent Study,,Independent Study,8/29/18,,,Contact Dept for Location,0,Naghshineh,2
Main,AE4990,43479,105,Independent Study,,Independent Study,8/29/18,,,Contact Dept for Location,0,Naghshineh,2
Main,AE5200,46217,100,Advanced Aerodynamics,,Lecture,8/29/18,M,19:00 - 21:20,Elson S. Floyd Hall,D0204,Liu,20
Main,AE7000,45178,100,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Hudson,2
Main,AE7000,45179,110,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Gustafson,2
Main,AE7000,45180,120,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Meyer,2
Main,AE7000,45181,130,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Lemmer,2
Main,AE7000,45182,140,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Ro,2
Main,AE7000,45183,150,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Liu,2
Main,AE7000,45184,160,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Liou,2
Main,ME2320,40816,100,Thermodynamics I,,Lecture,8/29/18,TR,17:30 - 18:45,Elson S. Floyd Hall,D0204,Lemmer,30
Main,ME2320,40821,105,Thermodynamics I,,Lecture,8/29/18,MW,14:30 - 15:20,Elson S. Floyd Hall,D0109,Merati,60
Main,ME2320,40821,105,Thermodynamics I,,Lecture,8/29/18,TR,09:30 - 11:00,Elson S. Floyd Hall,D0204,Merati,60
Main,ME2320,46111,110,Thermodynamics I,,Lecture,8/29/18,TR,17:30 - 18:45,Elson S. Floyd Hall,D0205,Shrestha,30
Main,ME2500,40814,100,Materials Science - Engineers,,Lecture,8/29/18,MW,08:30 - 09:20,Elson S. Floyd Hall,D0109,Ari-Gur,12
Main,ME2500,40814,100,Materials Science - Engineers,,Lecture,8/29/18,M,10:00 - 13:00,Elson S. Floyd Hall,A0121,Ari-Gur,12
Main,ME2500,46232,105,Materials Science - Engineers,,Lecture,8/29/18,T,13:00 - 16:00,Elson S. Floyd Hall,A0121,Ari-Gur,12
Main,ME2500,46232,105,Materials Science - Engineers,,Lecture,8/29/18,MW,08:30 - 09:20,Elson S. Floyd Hall,D0109,Ari-Gur,12
Main,ME2500,46233,110,Materials Science - Engineers,,Lecture,8/29/18,MW,08:30 - 09:20,Elson S. Floyd Hall,D0109,Ari-Gur,12
Main,ME2500,46233,110,Materials Science - Engineers,,Lecture,8/29/18,F,08:30 - 11:30,Elson S. Floyd Hall,A0121,Ari-Gur,12
Main,ME2500,46234,115,Materials Science - Engineers,,Lecture,8/29/18,MW,08:30 - 09:20,Elson S. Floyd Hall,D0109,Ari-Gur,12
Main,ME2500,46234,115,Materials Science - Engineers,,Lecture,8/29/18,F,16:00 - 19:00,Elson S. Floyd Hall,A0121,Ari-Gur,12
Main,ME2500,46226,120,Materials Science - Engineers,,Lecture,8/29/18,M,13:00 - 15:50,Elson S. Floyd Hall,A0121,Ari-Gur,12
Main,ME2500,46226,120,Materials Science - Engineers,,Lecture,8/29/18,MW,08:30 - 09:20,Elson S. Floyd Hall,D0109,Ari-Gur,12
Main,ME2560,40822,100,Statics,,Lecture,8/29/18,M,09:30 - 12:20,Elson S. Floyd Hall,C0227,Hu,48
Main,ME2560,40822,100,Statics,,Lecture,8/29/18,MW,08:30 - 09:20,Elson S. Floyd Hall,D0208,Hu,48
Main,ME2560,43424,110,Statics,,Lecture,8/29/18,W,15:30 - 18:20,Elson S. Floyd Hall,C0228,Hu,48
Main,ME2560,43424,110,Statics,,Lecture,8/29/18,MW,14:30 - 15:20,Elson S. Floyd Hall,D0204,Hu,48
Main,ME2560,40823,120,Statics,,Lecture,8/29/18,TR,16:30 - 17:45,Elson S. Floyd Hall,D0109,Montefort Sanchez,48
Main,ME2570,43449,100,Mechanics Of Materials,,Lecture,8/29/18,MWF,11:30 - 12:20,Elson S. Floyd Hall,D0115,Montefort Sanchez,75
Main,ME2570,42723,105,Mechanics Of Materials,,Lecture,8/29/18,T,11:30 - 14:00,Elson S. Floyd Hall,C0224,Hu,48
Main,ME2570,42723,105,Mechanics Of Materials,,Lecture,8/29/18,MW,13:30 - 14:20,Elson S. Floyd Hall,D0204,Hu,48
Main,ME2580,40826,100,Dynamics,,Lecture,8/29/18,MWF,08:30 - 09:20,Elson S. Floyd Hall,D0204,Hudson,50
Main,ME2580,41986,105,Dynamics,,Lecture,8/29/18,TR,16:00 - 17:15,Elson S. Floyd Hall,D0208,Ari-Gur,50
